종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
244620,2,KODEX 모멘텀Plus,13405,2,20,0.15,13419.0,15.7171,5629,75,80,국내 업종/테마,KODEX,False,False,False
424460,4,HANARO 글로벌워터MSCI(합성),13385,2,150,1.13,13348.0,12.7822,2586,34,80,해외 주식,HANARO,False,False,False
272220,2,ACE 스마트모멘텀,15875,2,100,0.63,15878.0,8.211,23,0,79,국내 업종/테마,ACE,False,False,False
337120,2,KODEX Fn멀티팩터,13175,3,0,0.0,13266.0,5.2652,0,0,79,국내 업종/테마,KODEX,False,False,False
432840,4,HANARO 미국S&P500,13140,2,20,0.15,13271.0,6.2692,942,12,79,해외 주식,HANARO,False,False,False
346000,6,HANARO KAP초장기국고채,37730,5,-20,-0.05,37832.0,-0.8562,346,13,78,채권,HANARO,False,False,False
411720,4,KBSTAR 글로벌메타버스Moorgate,13070,2,90,0.69,13092.0,11.7039,1097,14,78,해외 주식,KBSTAR,False,False,False
253280,2,KBSTAR 헬스케어,14200,2,50,0.35,14242.0,10.5037,469,6,78,국내 업종/테마,KBSTAR,False,False,False
413930,2,WOORI AI ESG액티브,9740,2,20,0.21,9774.0,7.5816,940,9,78,국내 업종/테마,WOORI,False,False,False
333940,2,ARIRANG KS로우볼가중TR,14080,2,65,0.46,14063.0,3.0514,20,0,77,국내 업종/테마,ARIRANG,False,False,False
410870,2,TIMEFOLIO K컬처액티브,8605,2,60,0.7,8662.0,10.83,3225,27,77,국내 업종/테마,TIMEFOLIO,False,False,False
450190,4,KODEX 한중반도체(합성),12865,5,-35,-0.27,13001.0,20.1676,83,1,77,해외 주식,KODEX,False,False,False
469160,4,ACE 일본반도체,12865,2,5,0.04,12871.0,7.615,3967,51,77,해외 주식,ACE,False,False,False
275280,2,KODEX MSCI모멘텀,12790,2,90,0.71,12798.0,13.7075,652,8,77,국내 업종/테마,KODEX,False,False,False
