종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
보로노이 *,32450.0,상승  200,+0.62%,32400.0,32450.0,47059.0,1524.0,32838.0,2024-05-12,310210,,,,,,,,47028210,47028210,3854534,8.20%,101.57,+0.31%,코스닥,7454,296,17990,12920,5070,1.3924148606811146,14460.0,1.8037798777098388,,,,,-1093,0.73,21591.0,1.89
종근당,103200.0,상승  600,+0.58%,102800.0,103200.0,14970.0,1542.0,22690.0,2024-05-12,185750,,,,,,,,325560,325560,528,0.16%,101.57,+0.31%,코스피,36,2147,21400,9150,12250,2.33879781420765,81800.0,4.822429906542056,,,,,-364,1.87,5976.0,
알리코제약 *,5180.0,상승  30,+0.58%,5150.0,5180.0,4868.0,25.0,13265.0,2024-05-12,260660,,,,,,,,14669958,14669958,36422,0.25%,101.57,+0.31%,코스닥,989,877,9680,6110,3570,1.5842880523731588,-4500.0,0.5351239669421488,,,,,-166,3.93,1714.0,
유유제약,4750.0,상승  25,+0.53%,4730.0,4750.0,32989.0,155.0,24170.0,2024-05-12,000220,3701.0,33.0,48.0,0.9,1.31,205.0,544.88,11686538,11686538,2175597,18.62%,101.57,+0.31%,코스피,13393,195,131100,93000,38100,1.4096774193548387,-126350.0,0.036231884057971016,144667.0,4.0,매수,,-2279,1.01,113924.0,1.31
신신제약 *,5650.0,상승  30,+0.53%,5650.0,5660.0,106217.0,605.0,42797.0,2024-05-12,002800,,,,,,,,58141980,58141980,3378656,5.81%,101.57,+0.31%,코스닥,11384,225,27100,11460,15640,2.364746945898778,-21450.0,0.20848708487084872,,,,7.46,2626,0.86,22861.0,0.51
녹십자홀딩스,15850.0,상승  80,+0.51%,15800.0,15850.0,21938.0,347.0,32853.0,2024-05-12,005250,,,,,,,,2266930,2266930,12815,0.57%,101.57,+0.31%,코스피,114,1730,11020,4010,7010,2.748129675810474,4830.0,1.438294010889292,,,,,-364,0.84,5976.0,
유유제약2우B,11150.0,상승  50,+0.45%,11060.0,11150.0,558.0,6.0,691.0,2024-05-12,000227,,,,,,,,23709280,23709280,12033828,50.76%,101.57,+0.31%,코스피,1001,869,9750,2610,7140,3.735632183908046,1400.0,1.1435897435897435,,,,26.71,158,1.82,2316.0,
옵티팜 *,6740.0,상승  30,+0.45%,6730.0,6740.0,9391.0,63.0,15212.0,2024-05-12,153710,1896.0,253.0,172.0,13.35,9.07,717.0,42.62,341951,341951,68,0.02%,101.57,+0.31%,코스닥,101,1810,35900,28250,7650,1.2707964601769912,-29160.0,0.18774373259052926,44750.0,4.0,매수,19.78,1486,2.72,10789.0,1.44
녹십자,114600.0,상승  500,+0.44%,114600.0,114800.0,7370.0,846.0,20853.0,2024-05-12,006280,,,,,,,,20871467,20871467,889735,4.26%,101.57,+0.31%,코스피,1926,665,12650,5690,6960,2.2231985940246046,101950.0,9.059288537549406,,,,83.91,110,1.04,8838.0,
대웅,19580.0,상승  80,+0.41%,19480.0,19580.0,32211.0,635.0,34175.0,2024-05-12,003090,4647.0,144.0,233.0,3.1,5.01,324.0,218.89,1180940,1180940,4324,0.37%,101.57,+0.31%,코스피,731,1022,73400,52400,21000,1.400763358778626,-53820.0,0.2667574931880109,92000.0,4.0,매수,37.02,1672,2.26,27356.0,0.74
